'Time and date','ECG '
'[05:05:20.357 01/05/2000]',-0.028
'[05:05:20.360 01/05/2000]',-0.029
'[05:05:20.363 01/05/2000]',-0.030
'[05:05:20.367 01/05/2000]',-0.031
'[05:05:20.370 01/05/2000]',-0.031
'[05:05:20.373 01/05/2000]',-0.031
'[05:05:20.377 01/05/2000]',-0.030
'[05:05:20.380 01/05/2000]',-0.029
'[05:05:20.383 01/05/2000]',-0.028
'[05:05:20.387 01/05/2000]',-0.027
'[05:05:20.390 01/05/2000]',-0.027
'[05:05:20.393 01/05/2000]',-0.025
'[05:05:20.397 01/05/2000]',-0.025
'[05:05:20.400 01/05/2000]',-0.025
'[05:05:20.403 01/05/2000]',-0.026
'[05:05:20.407 01/05/2000]',-0.028
'[05:05:20.410 01/05/2000]',-0.030
'[05:05:20.413 01/05/2000]',-0.033
'[05:05:20.417 01/05/2000]',-0.035
'[05:05:20.420 01/05/2000]',-0.031
'[05:05:20.423 01/05/2000]',-0.025
'[05:05:20.427 01/05/2000]',-0.022
'[05:05:20.430 01/05/2000]',-0.020
'[05:05:20.433 01/05/2000]',-0.019
'[05:05:20.437 01/05/2000]',-0.017
'[05:05:20.440 01/05/2000]',-0.015
'[05:05:20.443 01/05/2000]',-0.013
'[05:05:20.447 01/05/2000]',-0.010
'[05:05:20.450 01/05/2000]',-0.008
'[05:05:20.453 01/05/2000]',-0.006
'[05:05:20.457 01/05/2000]',-0.004
'[05:05:20.460 01/05/2000]',-0.003
'[05:05:20.463 01/05/2000]',-0.001
'[05:05:20.467 01/05/2000]',0.000
'[05:05:20.470 01/05/2000]',0.001
'[05:05:20.473 01/05/2000]',0.003
'[05:05:20.477 01/05/2000]',0.005
'[05:05:20.480 01/05/2000]',0.008
'[05:05:20.483 01/05/2000]',0.010
'[05:05:20.487 01/05/2000]',0.012
'[05:05:20.490 01/05/2000]',0.013
'[05:05:20.493 01/05/2000]',0.012
'[05:05:20.497 01/05/2000]',0.010
'[05:05:20.500 01/05/2000]',0.008
'[05:05:20.503 01/05/2000]',0.006
'[05:05:20.507 01/05/2000]',0.004
'[05:05:20.510 01/05/2000]',0.002
'[05:05:20.513 01/05/2000]',0.000
'[05:05:20.517 01/05/2000]',-0.001
'[05:05:20.520 01/05/2000]',-0.003
'[05:05:20.523 01/05/2000]',-0.005
'[05:05:20.527 01/05/2000]',-0.007
'[05:05:20.530 01/05/2000]',-0.007
'[05:05:20.533 01/05/2000]',-0.008
'[05:05:20.537 01/05/2000]',-0.007
'[05:05:20.540 01/05/2000]',-0.007
'[05:05:20.543 01/05/2000]',-0.006
'[05:05:20.547 01/05/2000]',-0.004
'[05:05:20.550 01/05/2000]',-0.003
'[05:05:20.553 01/05/2000]',-0.001
'[05:05:20.557 01/05/2000]',0.000
'[05:05:20.560 01/05/2000]',0.001
'[05:05:20.563 01/05/2000]',0.003
'[05:05:20.567 01/05/2000]',0.005
'[05:05:20.570 01/05/2000]',0.008
'[05:05:20.573 01/05/2000]',0.011
'[05:05:20.577 01/05/2000]',0.014
'[05:05:20.580 01/05/2000]',0.018
'[05:05:20.583 01/05/2000]',0.022
'[05:05:20.587 01/05/2000]',0.026
'[05:05:20.590 01/05/2000]',0.027
'[05:05:20.593 01/05/2000]',0.026
'[05:05:20.597 01/05/2000]',0.023
'[05:05:20.600 01/05/2000]',0.019
'[05:05:20.603 01/05/2000]',0.013
'[05:05:20.607 01/05/2000]',0.005
'[05:05:20.610 01/05/2000]',0.000
'[05:05:20.613 01/05/2000]',-0.004
'[05:05:20.617 01/05/2000]',-0.008
'[05:05:20.620 01/05/2000]',-0.010
'[05:05:20.623 01/05/2000]',-0.005
'[05:05:20.627 01/05/2000]',0.003
'[05:05:20.630 01/05/2000]',0.007
'[05:05:20.633 01/05/2000]',0.010
'[05:05:20.637 01/05/2000]',0.012
'[05:05:20.640 01/05/2000]',0.014
'[05:05:20.643 01/05/2000]',0.016
'[05:05:20.647 01/05/2000]',0.018
'[05:05:20.650 01/05/2000]',0.021
'[05:05:20.653 01/05/2000]',0.023
'[05:05:20.657 01/05/2000]',0.025
'[05:05:20.660 01/05/2000]',0.027
'[05:05:20.663 01/05/2000]',0.028
'[05:05:20.667 01/05/2000]',0.030
'[05:05:20.670 01/05/2000]',0.032
'[05:05:20.673 01/05/2000]',0.033
'[05:05:20.677 01/05/2000]',0.035
'[05:05:20.680 01/05/2000]',0.036
'[05:05:20.683 01/05/2000]',0.039
'[05:05:20.687 01/05/2000]',0.043
'[05:05:20.690 01/05/2000]',0.047
'[05:05:20.693 01/05/2000]',0.050
'[05:05:20.697 01/05/2000]',0.053
'[05:05:20.700 01/05/2000]',0.056
'[05:05:20.703 01/05/2000]',0.058
'[05:05:20.707 01/05/2000]',0.061
'[05:05:20.710 01/05/2000]',0.064
'[05:05:20.713 01/05/2000]',0.068
'[05:05:20.717 01/05/2000]',0.070
'[05:05:20.720 01/05/2000]',0.072
'[05:05:20.723 01/05/2000]',0.074
'[05:05:20.727 01/05/2000]',0.077
'[05:05:20.730 01/05/2000]',0.081
'[05:05:20.733 01/05/2000]',0.086
'[05:05:20.737 01/05/2000]',0.086
'[05:05:20.740 01/05/2000]',0.076
'[05:05:20.743 01/05/2000]',0.061
'[05:05:20.747 01/05/2000]',0.043
'[05:05:20.750 01/05/2000]',0.034
'[05:05:20.753 01/05/2000]',0.030
'[05:05:20.757 01/05/2000]',0.027
'[05:05:20.760 01/05/2000]',0.024
'[05:05:20.763 01/05/2000]',0.021
'[05:05:20.767 01/05/2000]',0.018
'[05:05:20.770 01/05/2000]',0.015
'[05:05:20.773 01/05/2000]',0.011
'[05:05:20.777 01/05/2000]',0.005
'[05:05:20.780 01/05/2000]',-0.001
'[05:05:20.783 01/05/2000]',-0.007
'[05:05:20.787 01/05/2000]',-0.012
'[05:05:20.790 01/05/2000]',-0.016
'[05:05:20.793 01/05/2000]',-0.020
'[05:05:20.797 01/05/2000]',-0.023
'[05:05:20.800 01/05/2000]',-0.021
'[05:05:20.803 01/05/2000]',-0.016
'[05:05:20.807 01/05/2000]',-0.001
'[05:05:20.810 01/05/2000]',0.019
'[05:05:20.813 01/05/2000]',0.046
'[05:05:20.817 01/05/2000]',0.080
'[05:05:20.820 01/05/2000]',0.129
'[05:05:20.823 01/05/2000]',0.199
'[05:05:20.827 01/05/2000]',0.296
'[05:05:20.830 01/05/2000]',0.415
'[05:05:20.833 01/05/2000]',0.549
'[05:05:20.837 01/05/2000]',0.683
'[05:05:20.840 01/05/2000]',0.803
'[05:05:20.843 01/05/2000]',0.889
'[05:05:20.847 01/05/2000]',0.925
'[05:05:20.850 01/05/2000]',0.899
'[05:05:20.853 01/05/2000]',0.803
'[05:05:20.857 01/05/2000]',0.645
'[05:05:20.860 01/05/2000]',0.453
'[05:05:20.863 01/05/2000]',0.262
'[05:05:20.867 01/05/2000]',0.103
'[05:05:20.870 01/05/2000]',-0.004
'[05:05:20.873 01/05/2000]',-0.062
'[05:05:20.877 01/05/2000]',-0.086
'[05:05:20.880 01/05/2000]',-0.102
'[05:05:20.883 01/05/2000]',-0.119
'[05:05:20.887 01/05/2000]',-0.135
'[05:05:20.890 01/05/2000]',-0.145
'[05:05:20.893 01/05/2000]',-0.151
'[05:05:20.897 01/05/2000]',-0.151
'[05:05:20.900 01/05/2000]',-0.143
'[05:05:20.903 01/05/2000]',-0.131
'[05:05:20.907 01/05/2000]',-0.118
'[05:05:20.910 01/05/2000]',-0.111
'[05:05:20.913 01/05/2000]',-0.107
'[05:05:20.917 01/05/2000]',-0.104
'[05:05:20.920 01/05/2000]',-0.102
'[05:05:20.923 01/05/2000]',-0.101
'[05:05:20.927 01/05/2000]',-0.100
'[05:05:20.930 01/05/2000]',-0.099
'[05:05:20.933 01/05/2000]',-0.097
'[05:05:20.937 01/05/2000]',-0.096
'[05:05:20.940 01/05/2000]',-0.096
'[05:05:20.943 01/05/2000]',-0.096
'[05:05:20.947 01/05/2000]',-0.096
'[05:05:20.950 01/05/2000]',-0.097
'[05:05:20.953 01/05/2000]',-0.098
'[05:05:20.957 01/05/2000]',-0.099
'[05:05:20.960 01/05/2000]',-0.100
'[05:05:20.963 01/05/2000]',-0.101
'[05:05:20.967 01/05/2000]',-0.102
'[05:05:20.970 01/05/2000]',-0.103
'[05:05:20.973 01/05/2000]',-0.104
'[05:05:20.977 01/05/2000]',-0.102
'[05:05:20.980 01/05/2000]',-0.099
'[05:05:20.983 01/05/2000]',-0.095
'[05:05:20.987 01/05/2000]',-0.089
'[05:05:20.990 01/05/2000]',-0.080
'[05:05:20.993 01/05/2000]',-0.069
'[05:05:20.997 01/05/2000]',-0.054
'[05:05:21.000 01/05/2000]',-0.040
'[05:05:21.003 01/05/2000]',-0.034
'[05:05:21.007 01/05/2000]',-0.030
'[05:05:21.010 01/05/2000]',-0.028
'[05:05:21.013 01/05/2000]',-0.024
'[05:05:21.017 01/05/2000]',-0.020
'[05:05:21.020 01/05/2000]',-0.016
'[05:05:21.023 01/05/2000]',-0.011
'[05:05:21.027 01/05/2000]',-0.006
'[05:05:21.030 01/05/2000]',0.000
'[05:05:21.033 01/05/2000]',0.003
'[05:05:21.037 01/05/2000]',0.008
'[05:05:21.040 01/05/2000]',0.026
'[05:05:21.043 01/05/2000]',0.050
'[05:05:21.047 01/05/2000]',0.063
'[05:05:21.050 01/05/2000]',0.071
'[05:05:21.053 01/05/2000]',0.076
'[05:05:21.057 01/05/2000]',0.081
'[05:05:21.060 01/05/2000]',0.084
'[05:05:21.063 01/05/2000]',0.087
'[05:05:21.067 01/05/2000]',0.091
'[05:05:21.070 01/05/2000]',0.096
'[05:05:21.073 01/05/2000]',0.095
'[05:05:21.077 01/05/2000]',0.087
'[05:05:21.080 01/05/2000]',0.082
'[05:05:21.083 01/05/2000]',0.079
'[05:05:21.087 01/05/2000]',0.075
'[05:05:21.090 01/05/2000]',0.071
'[05:05:21.093 01/05/2000]',0.067
'[05:05:21.097 01/05/2000]',0.063
'[05:05:21.100 01/05/2000]',0.057
'[05:05:21.103 01/05/2000]',0.046
'[05:05:21.107 01/05/2000]',0.029
'[05:05:21.110 01/05/2000]',0.016
'[05:05:21.113 01/05/2000]',0.007
'[05:05:21.117 01/05/2000]',-0.002
'[05:05:21.120 01/05/2000]',-0.011
'[05:05:21.123 01/05/2000]',-0.020
'[05:05:21.127 01/05/2000]',-0.027
'[05:05:21.130 01/05/2000]',-0.029
'[05:05:21.133 01/05/2000]',-0.031
'[05:05:21.137 01/05/2000]',-0.032
'[05:05:21.140 01/05/2000]',-0.033
'[05:05:21.143 01/05/2000]',-0.033
'[05:05:21.147 01/05/2000]',-0.034
'[05:05:21.150 01/05/2000]',-0.034
'[05:05:21.153 01/05/2000]',-0.034
'[05:05:21.157 01/05/2000]',-0.034
'[05:05:21.160 01/05/2000]',-0.034
'[05:05:21.163 01/05/2000]',-0.035
'[05:05:21.167 01/05/2000]',-0.035
'[05:05:21.170 01/05/2000]',-0.035
'[05:05:21.173 01/05/2000]',-0.035
'[05:05:21.177 01/05/2000]',-0.034
'[05:05:21.180 01/05/2000]',-0.034
'[05:05:21.183 01/05/2000]',-0.035
'[05:05:21.187 01/05/2000]',-0.036
'[05:05:21.190 01/05/2000]',-0.037
'[05:05:21.193 01/05/2000]',-0.037
'[05:05:21.197 01/05/2000]',-0.037
'[05:05:21.200 01/05/2000]',-0.037
'[05:05:21.203 01/05/2000]',-0.038
'[05:05:21.207 01/05/2000]',-0.039
'[05:05:21.210 01/05/2000]',-0.041
'[05:05:21.213 01/05/2000]',-0.042
'[05:05:21.217 01/05/2000]',-0.044
'[05:05:21.220 01/05/2000]',-0.045
'[05:05:21.223 01/05/2000]',-0.047
'[05:05:21.227 01/05/2000]',-0.050
'[05:05:21.230 01/05/2000]',-0.052
'[05:05:21.233 01/05/2000]',-0.055
'[05:05:21.237 01/05/2000]',-0.056
'[05:05:21.240 01/05/2000]',-0.055
'[05:05:21.243 01/05/2000]',-0.052
'[05:05:21.247 01/05/2000]',-0.049
'[05:05:21.250 01/05/2000]',-0.046
'[05:05:21.253 01/05/2000]',-0.043
'[05:05:21.257 01/05/2000]',-0.040
'[05:05:21.260 01/05/2000]',-0.036
'[05:05:21.263 01/05/2000]',-0.031
'[05:05:21.267 01/05/2000]',-0.026
'[05:05:21.270 01/05/2000]',-0.020
'[05:05:21.273 01/05/2000]',-0.015
'[05:05:21.277 01/05/2000]',-0.011
'[05:05:21.280 01/05/2000]',-0.008
'[05:05:21.283 01/05/2000]',-0.006
'[05:05:21.287 01/05/2000]',-0.003
'[05:05:21.290 01/05/2000]',0.000
'[05:05:21.293 01/05/2000]',0.000
'[05:05:21.297 01/05/2000]',0.001
'[05:05:21.300 01/05/2000]',0.000
'[05:05:21.303 01/05/2000]',0.000
'[05:05:21.307 01/05/2000]',-0.001
'[05:05:21.310 01/05/2000]',-0.003
'[05:05:21.313 01/05/2000]',-0.005
'[05:05:21.317 01/05/2000]',-0.008
'[05:05:21.320 01/05/2000]',-0.010
'[05:05:21.323 01/05/2000]',-0.012
'[05:05:21.327 01/05/2000]',-0.013
'[05:05:21.330 01/05/2000]',-0.015
'[05:05:21.333 01/05/2000]',-0.016
'[05:05:21.337 01/05/2000]',-0.017
'[05:05:21.340 01/05/2000]',-0.018
'[05:05:21.343 01/05/2000]',-0.018
'[05:05:21.347 01/05/2000]',-0.018
'[05:05:21.350 01/05/2000]',-0.017
'[05:05:21.353 01/05/2000]',-0.016
'[05:05:21.357 01/05/2000]',-0.015
'[05:05:21.360 01/05/2000]',-0.014
'[05:05:21.363 01/05/2000]',-0.012
'[05:05:21.367 01/05/2000]',-0.011
'[05:05:21.370 01/05/2000]',-0.009
'[05:05:21.373 01/05/2000]',-0.008
'[05:05:21.377 01/05/2000]',-0.006
'[05:05:21.380 01/05/2000]',-0.005
'[05:05:21.383 01/05/2000]',-0.003
'[05:05:21.387 01/05/2000]',0.000
'[05:05:21.390 01/05/2000]',0.002
'[05:05:21.393 01/05/2000]',0.005
'[05:05:21.397 01/05/2000]',0.007
'[05:05:21.400 01/05/2000]',0.007
'[05:05:21.403 01/05/2000]',0.007
'[05:05:21.407 01/05/2000]',0.006
'[05:05:21.410 01/05/2000]',0.006
'[05:05:21.413 01/05/2000]',0.005
'[05:05:21.417 01/05/2000]',0.004
'[05:05:21.420 01/05/2000]',0.004
'[05:05:21.423 01/05/2000]',0.002
'[05:05:21.427 01/05/2000]',0.001
'[05:05:21.430 01/05/2000]',0.000
'[05:05:21.433 01/05/2000]',-0.001
'[05:05:21.437 01/05/2000]',-0.001
'[05:05:21.440 01/05/2000]',-0.001
'[05:05:21.443 01/05/2000]',0.000
'[05:05:21.447 01/05/2000]',0.000
'[05:05:21.450 01/05/2000]',0.000
'[05:05:21.453 01/05/2000]',0.000
'[05:05:21.457 01/05/2000]',0.001
'[05:05:21.460 01/05/2000]',0.003
'[05:05:21.463 01/05/2000]',0.005
'[05:05:21.467 01/05/2000]',0.008
'[05:05:21.470 01/05/2000]',0.010
'[05:05:21.473 01/05/2000]',0.018
'[05:05:21.477 01/05/2000]',0.030
'[05:05:21.480 01/05/2000]',0.037
'[05:05:21.483 01/05/2000]',0.043
'[05:05:21.487 01/05/2000]',0.043
'[05:05:21.490 01/05/2000]',0.038
'[05:05:21.493 01/05/2000]',0.034
'[05:05:21.497 01/05/2000]',0.031
'[05:05:21.500 01/05/2000]',0.029
'[05:05:21.503 01/05/2000]',0.030
'[05:05:21.507 01/05/2000]',0.034
'[05:05:21.510 01/05/2000]',0.040
'[05:05:21.513 01/05/2000]',0.046
'[05:05:21.517 01/05/2000]',0.056
'[05:05:21.520 01/05/2000]',0.068
'[05:05:21.523 01/05/2000]',0.084
'[05:05:21.527 01/05/2000]',0.102
'[05:05:21.530 01/05/2000]',0.111
'[05:05:21.533 01/05/2000]',0.117
'[05:05:21.537 01/05/2000]',0.121
'[05:05:21.540 01/05/2000]',0.121
'[05:05:21.543 01/05/2000]',0.116
'[05:05:21.547 01/05/2000]',0.108
'[05:05:21.550 01/05/2000]',0.095
'[05:05:21.553 01/05/2000]',0.078
'[05:05:21.557 01/05/2000]',0.066
'[05:05:21.560 01/05/2000]',0.059
'[05:05:21.563 01/05/2000]',0.052
'[05:05:21.567 01/05/2000]',0.044
'[05:05:21.570 01/05/2000]',0.031
'[05:05:21.573 01/05/2000]',0.018
'[05:05:21.577 01/05/2000]',0.014
'[05:05:21.580 01/05/2000]',0.011
'[05:05:21.583 01/05/2000]',0.009
'[05:05:21.587 01/05/2000]',0.008
'[05:05:21.590 01/05/2000]',0.008
'[05:05:21.593 01/05/2000]',0.010
'[05:05:21.597 01/05/2000]',0.015
'[05:05:21.600 01/05/2000]',0.020
'[05:05:21.603 01/05/2000]',0.027
'[05:05:21.607 01/05/2000]',0.038
'[05:05:21.610 01/05/2000]',0.047
'[05:05:21.613 01/05/2000]',0.056
'[05:05:21.617 01/05/2000]',0.065
'[05:05:21.620 01/05/2000]',0.077
'[05:05:21.623 01/05/2000]',0.106
'[05:05:21.627 01/05/2000]',0.158
'[05:05:21.630 01/05/2000]',0.236
'[05:05:21.633 01/05/2000]',0.339
'[05:05:21.637 01/05/2000]',0.462
'[05:05:21.640 01/05/2000]',0.596
'[05:05:21.643 01/05/2000]',0.724
'[05:05:21.647 01/05/2000]',0.826
'[05:05:21.650 01/05/2000]',0.874
'[05:05:21.653 01/05/2000]',0.874
'[05:05:21.657 01/05/2000]',0.825
'[05:05:21.660 01/05/2000]',0.715
'[05:05:21.663 01/05/2000]',0.567
'[05:05:21.667 01/05/2000]',0.394
'[05:05:21.670 01/05/2000]',0.216
'[05:05:21.673 01/05/2000]',0.062
'[05:05:21.677 01/05/2000]',-0.041
'[05:05:21.680 01/05/2000]',-0.076
'[05:05:21.683 01/05/2000]',-0.075
'[05:05:21.687 01/05/2000]',-0.054
'[05:05:21.690 01/05/2000]',-0.042
'[05:05:21.693 01/05/2000]',-0.051
'[05:05:21.697 01/05/2000]',-0.076
'[05:05:21.700 01/05/2000]',-0.114
'[05:05:21.703 01/05/2000]',-0.137
'[05:05:21.707 01/05/2000]',-0.144
'[05:05:21.710 01/05/2000]',-0.135
'[05:05:21.713 01/05/2000]',-0.121
'[05:05:21.717 01/05/2000]',-0.102
'[05:05:21.720 01/05/2000]',-0.086
'[05:05:21.723 01/05/2000]',-0.078
'[05:05:21.727 01/05/2000]',-0.072
'[05:05:21.730 01/05/2000]',-0.067
'[05:05:21.733 01/05/2000]',-0.063
'[05:05:21.737 01/05/2000]',-0.061
'[05:05:21.740 01/05/2000]',-0.060
'[05:05:21.743 01/05/2000]',-0.059
'[05:05:21.747 01/05/2000]',-0.058
'[05:05:21.750 01/05/2000]',-0.057
'[05:05:21.753 01/05/2000]',-0.056
'[05:05:21.757 01/05/2000]',-0.056
'[05:05:21.760 01/05/2000]',-0.055
'[05:05:21.763 01/05/2000]',-0.055
'[05:05:21.767 01/05/2000]',-0.055
'[05:05:21.770 01/05/2000]',-0.055
'[05:05:21.773 01/05/2000]',-0.054
'[05:05:21.777 01/05/2000]',-0.053
'[05:05:21.780 01/05/2000]',-0.052
'[05:05:21.783 01/05/2000]',-0.052
'[05:05:21.787 01/05/2000]',-0.052
'[05:05:21.790 01/05/2000]',-0.051
'[05:05:21.793 01/05/2000]',-0.051
'[05:05:21.797 01/05/2000]',-0.050
'[05:05:21.800 01/05/2000]',-0.050
'[05:05:21.803 01/05/2000]',-0.048
'[05:05:21.807 01/05/2000]',-0.047
'[05:05:21.810 01/05/2000]',-0.045
'[05:05:21.813 01/05/2000]',-0.041
'[05:05:21.817 01/05/2000]',-0.031
'[05:05:21.820 01/05/2000]',-0.021
'[05:05:21.823 01/05/2000]',-0.011
'[05:05:21.827 01/05/2000]',-0.001
'[05:05:21.830 01/05/2000]',0.005
'[05:05:21.833 01/05/2000]',0.011
'[05:05:21.837 01/05/2000]',0.016
'[05:05:21.840 01/05/2000]',0.023
'[05:05:21.843 01/05/2000]',0.033
'[05:05:21.847 01/05/2000]',0.039
'[05:05:21.850 01/05/2000]',0.043
'[05:05:21.853 01/05/2000]',0.047
'[05:05:21.857 01/05/2000]',0.051
'[05:05:21.860 01/05/2000]',0.055
'[05:05:21.863 01/05/2000]',0.059
'[05:05:21.867 01/05/2000]',0.062
'[05:05:21.870 01/05/2000]',0.066
'[05:05:21.873 01/05/2000]',0.069
'[05:05:21.877 01/05/2000]',0.073
'[05:05:21.880 01/05/2000]',0.077
'[05:05:21.883 01/05/2000]',0.080
'[05:05:21.887 01/05/2000]',0.081
'[05:05:21.890 01/05/2000]',0.080
'[05:05:21.893 01/05/2000]',0.079
'[05:05:21.897 01/05/2000]',0.076
'[05:05:21.900 01/05/2000]',0.073
'[05:05:21.903 01/05/2000]',0.062
'[05:05:21.907 01/05/2000]',0.035
'[05:05:21.910 01/05/2000]',0.009
'[05:05:21.913 01/05/2000]',0.001
'[05:05:21.917 01/05/2000]',-0.004
'[05:05:21.920 01/05/2000]',-0.011
'[05:05:21.923 01/05/2000]',-0.016
'[05:05:21.927 01/05/2000]',-0.024
'[05:05:21.930 01/05/2000]',-0.034
'[05:05:21.933 01/05/2000]',-0.043
'[05:05:21.937 01/05/2000]',-0.048
'[05:05:21.940 01/05/2000]',-0.051
'[05:05:21.943 01/05/2000]',-0.053
'[05:05:21.947 01/05/2000]',-0.055
'[05:05:21.950 01/05/2000]',-0.056
'[05:05:21.953 01/05/2000]',-0.058
'[05:05:21.957 01/05/2000]',-0.060
'[05:05:21.960 01/05/2000]',-0.063
'[05:05:21.963 01/05/2000]',-0.066
'[05:05:21.967 01/05/2000]',-0.068
'[05:05:21.970 01/05/2000]',-0.071
'[05:05:21.973 01/05/2000]',-0.075
'[05:05:21.977 01/05/2000]',-0.080
'[05:05:21.980 01/05/2000]',-0.089
'[05:05:21.983 01/05/2000]',-0.104
'[05:05:21.987 01/05/2000]',-0.112
'[05:05:21.990 01/05/2000]',-0.116
'[05:05:21.993 01/05/2000]',-0.119
'[05:05:21.997 01/05/2000]',-0.122
'[05:05:22.000 01/05/2000]',-0.125
'[05:05:22.003 01/05/2000]',-0.126
'[05:05:22.007 01/05/2000]',-0.126
'[05:05:22.010 01/05/2000]',-0.123
'[05:05:22.013 01/05/2000]',-0.120
'[05:05:22.017 01/05/2000]',-0.115
'[05:05:22.020 01/05/2000]',-0.110
'[05:05:22.023 01/05/2000]',-0.102
'[05:05:22.027 01/05/2000]',-0.101
'[05:05:22.030 01/05/2000]',-0.106
'[05:05:22.033 01/05/2000]',-0.109
'[05:05:22.037 01/05/2000]',-0.111
'[05:05:22.040 01/05/2000]',-0.113
'[05:05:22.043 01/05/2000]',-0.115
'[05:05:22.047 01/05/2000]',-0.116
'[05:05:22.050 01/05/2000]',-0.116
'[05:05:22.053 01/05/2000]',-0.116
'[05:05:22.057 01/05/2000]',-0.116
'[05:05:22.060 01/05/2000]',-0.116
'[05:05:22.063 01/05/2000]',-0.116
'[05:05:22.067 01/05/2000]',-0.115
'[05:05:22.070 01/05/2000]',-0.113
'[05:05:22.073 01/05/2000]',-0.110
'[05:05:22.077 01/05/2000]',-0.124
'[05:05:22.080 01/05/2000]',-0.148
'[05:05:22.083 01/05/2000]',-0.175
'[05:05:22.087 01/05/2000]',-0.188
'[05:05:22.090 01/05/2000]',-0.195
'[05:05:22.093 01/05/2000]',-0.200
'[05:05:22.097 01/05/2000]',-0.203
'[05:05:22.100 01/05/2000]',-0.206
'[05:05:22.103 01/05/2000]',-0.209
'[05:05:22.107 01/05/2000]',-0.212
'[05:05:22.110 01/05/2000]',-0.216
'[05:05:22.113 01/05/2000]',-0.218
'[05:05:22.117 01/05/2000]',-0.221
'[05:05:22.120 01/05/2000]',-0.224
'[05:05:22.123 01/05/2000]',-0.227
'[05:05:22.127 01/05/2000]',-0.231
'[05:05:22.130 01/05/2000]',-0.235
'[05:05:22.133 01/05/2000]',-0.239
'[05:05:22.137 01/05/2000]',-0.242
'[05:05:22.140 01/05/2000]',-0.245
'[05:05:22.143 01/05/2000]',-0.248
'[05:05:22.147 01/05/2000]',-0.252
'[05:05:22.150 01/05/2000]',-0.258
'[05:05:22.153 01/05/2000]',-0.265
'[05:05:22.157 01/05/2000]',-0.273
'[05:05:22.160 01/05/2000]',-0.281
'[05:05:22.163 01/05/2000]',-0.289
'[05:05:22.167 01/05/2000]',-0.296
'[05:05:22.170 01/05/2000]',-0.303
'[05:05:22.173 01/05/2000]',-0.309
'[05:05:22.177 01/05/2000]',-0.314
'[05:05:22.180 01/05/2000]',-0.318
'[05:05:22.183 01/05/2000]',-0.321
'[05:05:22.187 01/05/2000]',-0.324
'[05:05:22.190 01/05/2000]',-0.326
'[05:05:22.193 01/05/2000]',-0.328
'[05:05:22.197 01/05/2000]',-0.328
'[05:05:22.200 01/05/2000]',-0.328
'[05:05:22.203 01/05/2000]',-0.325
'[05:05:22.207 01/05/2000]',-0.321
'[05:05:22.210 01/05/2000]',-0.317
'[05:05:22.213 01/05/2000]',-0.312
'[05:05:22.217 01/05/2000]',-0.306
'[05:05:22.220 01/05/2000]',-0.298
'[05:05:22.223 01/05/2000]',-0.289
'[05:05:22.227 01/05/2000]',-0.282
'[05:05:22.230 01/05/2000]',-0.275
'[05:05:22.233 01/05/2000]',-0.261
'[05:05:22.237 01/05/2000]',-0.238
'[05:05:22.240 01/05/2000]',-0.217
'[05:05:22.243 01/05/2000]',-0.202
'[05:05:22.247 01/05/2000]',-0.188
'[05:05:22.250 01/05/2000]',-0.170
'[05:05:22.253 01/05/2000]',-0.148
'[05:05:22.257 01/05/2000]',-0.127
'[05:05:22.260 01/05/2000]',-0.105
'[05:05:22.263 01/05/2000]',-0.083
'[05:05:22.267 01/05/2000]',-0.063
'[05:05:22.270 01/05/2000]',-0.049
'[05:05:22.273 01/05/2000]',-0.039
'[05:05:22.277 01/05/2000]',-0.022
'[05:05:22.280 01/05/2000]',0.001
'[05:05:22.283 01/05/2000]',0.019
'[05:05:22.287 01/05/2000]',0.026
'[05:05:22.290 01/05/2000]',0.031
'[05:05:22.293 01/05/2000]',0.030
'[05:05:22.297 01/05/2000]',0.020
'[05:05:22.300 01/05/2000]',0.013
'[05:05:22.303 01/05/2000]',0.007
'[05:05:22.307 01/05/2000]',0.002
'[05:05:22.310 01/05/2000]',0.000
'[05:05:22.313 01/05/2000]',0.002
'[05:05:22.317 01/05/2000]',0.008
'[05:05:22.320 01/05/2000]',0.018
'[05:05:22.323 01/05/2000]',0.049
'[05:05:22.327 01/05/2000]',0.087
'[05:05:22.330 01/05/2000]',0.125
'[05:05:22.333 01/05/2000]',0.142
'[05:05:22.337 01/05/2000]',0.152
'[05:05:22.340 01/05/2000]',0.159
'[05:05:22.343 01/05/2000]',0.158
'[05:05:22.347 01/05/2000]',0.145
'[05:05:22.350 01/05/2000]',0.127
'[05:05:22.353 01/05/2000]',0.103
'[05:05:22.357 01/05/2000]',0.090
'[05:05:22.360 01/05/2000]',0.084
'[05:05:22.363 01/05/2000]',0.079
'[05:05:22.367 01/05/2000]',0.074
'[05:05:22.370 01/05/2000]',0.070
'[05:05:22.373 01/05/2000]',0.065
'[05:05:22.377 01/05/2000]',0.057
'[05:05:22.380 01/05/2000]',0.028
'[05:05:22.383 01/05/2000]',-0.007
'[05:05:22.387 01/05/2000]',-0.031
'[05:05:22.390 01/05/2000]',-0.059
'[05:05:22.393 01/05/2000]',-0.078
'[05:05:22.397 01/05/2000]',-0.090
'[05:05:22.400 01/05/2000]',-0.089
'[05:05:22.403 01/05/2000]',-0.063
'[05:05:22.407 01/05/2000]',-0.008
'[05:05:22.410 01/05/2000]',0.065
'[05:05:22.413 01/05/2000]',0.149
'[05:05:22.417 01/05/2000]',0.232
'[05:05:22.420 01/05/2000]',0.306
